,step,Function,Model,ptc regulation,alphaHh_by,x_reach,t_reach
265,11,Signal,Overshoot,Yes,1,11.943814707190668,9169
266,11,Hh,SS,Yes,1,12.931313073449985,False
267,11,Signal,SS,Yes,1,10.449024482996506,False
268,11,Hh,Overshoot,Yes,0.5,,57600
269,11,Signal,Overshoot,Yes,0.5,,57600
270,11,Hh,SS,Yes,0.5,13.02082110383273,False
271,11,Signal,SS,Yes,0.5,6.586938055498592,False
272,11,Hh,Overshoot,Yes,2,,57600
273,11,Signal,Overshoot,Yes,2,,57600
274,11,Hh,SS,Yes,2,13.020019589846342,False
275,11,Signal,SS,Yes,2,14.493265862472924,False
276,11,Hh,Overshoot,No,1,13.612019961659072,57600
277,11,Signal,Overshoot,No,1,12.237524110171847,57600
278,11,Hh,SS,No,1,13.657090925933872,False
279,11,Signal,SS,No,1,11.253367854419622,False
280,11,Hh,Overshoot,No,0.5,,57600
281,11,Signal,Overshoot,No,0.5,,57600
282,11,Hh,SS,No,0.5,13.482141964902453,False
283,11,Signal,SS,No,0.5,7.183629764898896,False
284,11,Hh,Overshoot,No,2,,57600
285,11,Signal,Overshoot,No,2,,57600
286,11,Hh,SS,No,2,13.819215358444467,False
287,11,Signal,SS,No,2,15.438523262890797,False
288,12,Hh,Overshoot,Yes,1,,57600
289,12,Signal,Overshoot,Yes,1,,57600
290,12,Hh,SS,Yes,1,10.072554437090261,False
291,12,Signal,SS,Yes,1,14.775552635477027,False
292,12,Hh,Overshoot,Yes,0.5,12.814385085338927,3087
293,12,Signal,Overshoot,Yes,0.5,17.296101181934972,7476
294,12,Hh,SS,Yes,0.5,7.72741781689038,False
295,12,Signal,SS,Yes,0.5,10.557920260844597,False
296,12,Hh,Overshoot,Yes,2,16.58204085164742,3304
297,12,Signal,Overshoot,Yes,2,28.270105988526964,7830
298,12,Hh,SS,Yes,2,12.576427223720373,False
299,12,Signal,SS,Yes,2,19.831256538256767,False
300,12,Hh,Overshoot,No,1,,57600
301,12,Signal,Overshoot,No,1,,57600
302,12,Hh,SS,No,1,15.540788191456755,False
303,12,Signal,SS,No,1,24.697731282552738,False
304,12,Hh,Overshoot,No,0.5,13.05603026008788,57600
305,12,Signal,Overshoot,No,0.5,19.220335841238906,57600
306,12,Hh,SS,No,0.5,13.529697988280276,False
307,12,Signal,SS,No,0.5,19.22492608313533,False
308,12,Hh,Overshoot,No,2,16.90973424564048,57600
309,12,Signal,Overshoot,No,2,30.461477199853647,57600
310,12,Hh,SS,No,2,17.17520117063043,False
311,12,Signal,SS,No,2,30.526763710100127,False
312,13,Hh,Overshoot,Yes,1,,57600
313,13,Signal,Overshoot,Yes,1,,57600
314,13,Hh,SS,Yes,1,25.603937035393102,False
315,13,Signal,SS,Yes,1,19.472575695958867,False
316,13,Hh,Overshoot,Yes,0.5,,57600
317,13,Signal,Overshoot,Yes,0.5,,57600
318,13,Hh,SS,Yes,0.5,26.363330274450917,False
319,13,Signal,SS,Yes,0.5,11.702705414794949,False
320,13,Hh,Overshoot,Yes,2,,57600
321,13,Signal,Overshoot,Yes,2,,57600
322,13,Hh,SS,Yes,2,25.287497659844718,False
323,13,Signal,SS,Yes,2,27.43217972110041,False
324,13,Hh,Overshoot,No,1,,57600
325,13,Signal,Overshoot,No,1,,57600
326,13,Hh,SS,No,1,27.773828194449138,False
327,13,Signal,SS,No,1,22.007582151823897,False
328,13,Hh,Overshoot,No,0.5,,57600
329,13,Signal,Overshoot,No,0.5,,57600
330,13,Hh,SS,No,0.5,27.691781215213496,False
331,13,Signal,SS,No,0.5,13.5695305616904,False
