,x_reach_Hh_over,t_reach_Hh_over,x_reach_Signal_over,t_reach_Signal_over,x_reach_Hh_SS,x_reach_Signal_SS,x_reach_Hh_over_up,t_reach_Hh_over_up,x_reach_Signal_over_up,t_reach_Signal_over_up,x_reach_Hh_SS_up,x_reach_Signal_SS_up,x_reach_Hh_over_down,t_reach_Hh_over_down,x_reach_Signal_over_down,t_reach_Signal_over_down,x_reach_Hh_SS_down,x_reach_Signal_SS_down
63,19.385143703487586,3787,30.908687259574137,7129,17.54377078005794,27.736777555221963,19.055604879404456,3736,24.928646127404576,7036,16.319510658805555,22.04529959593519,19.626939032433683,3972,36.93130399653183,7280,18.497897620099096,33.55807799052491
64,13.160901335809726,1985,14.465867021350007,9861,10.667225844694485,11.604491479657867,12.987418710218591,1600,10.728352886053514,10915,11.272754827929717,8.35768430584639,13.40402584585378,2581,18.485245568228777,9382,10.747317986181244,15.26268210603969
65,13.513791974951673,3893,21.715755359391522,10442,11.51931733172654,18.67773445632605,,57600,,57600,9.596114982284632,14.182881725999323,15.376947168148533,4022,27.282235373260036,10443,13.658245871862647,23.902599903290835
66,33.67891558511654,2769,43.76543539817236,4686,21.698923692554374,27.016625111080174,31.219598256918772,2784,32.54504336635324,4548,18.702268795396904,17.964902161066533,35.69503650242302,2872,55.31707174412567,4910,26.09460180896069,37.29341751990463
67,,57600,,57600,24.465972592963055,18.45466213014815,,57600,,57600,24.789015304526842,10.951145402510903,,57600,,57600,24.502497270332867,26.56646168495533
68,,57600,,57600,13.004118870535564,16.585520889351713,14.593150552883102,1102,14.942142752131318,9405,11.332058660119202,11.662800581339724,17.224940625276616,2238,26.02265859358694,8982,14.892560840676083,21.994121268118704
69,25.49364536620969,2227,32.462879978435495,7059,13.753752703370239,17.218857355440477,24.5269099158308,2316,24.734966775677947,7267,12.38053247058707,11.66080946309738,26.382530339838894,2159,40.52327269890961,6993,16.34423164571325,23.766129701480182
70,45.92979587174768,4058,59.155306941373226,5791,31.653434055381894,39.194552484723395,43.72603193000749,3907,43.99030369871351,5331,27.28524863004432,26.292351197051346,48.47825496988352,4591,75.89168212000145,6419,37.48057384475619,53.73843334289699
71,11.272207403530743,1043,3.4733400590738057,57600,11.202827369523035,2.2261265107276955,11.114041618828537,886,3.2059083042222056,57600,10.499512198258799,2.0066440466782467,11.736203614752782,1818,4.617565325233514,21511,11.760016466035864,3.3419223724987432
72,29.79385298922898,3760,34.98425682889254,6257,18.05722765673839,22.511164664211776,27.548542927070983,3887,25.0076459561745,6219,16.83703758479666,14.85785613797053,31.905038918184957,3819,45.693378564999996,6490,22.070159942323656,31.774628175037577
